Step,BTC_return,SP500_return,BTC_action,SP500_action,Reward,Cumulative_Reward
68,-0.022751484,-0.075969696,Sell,Sell,0.08999349283790192,1.3988338157941382
69,-0.0017561413,0.049396306,Sell,Sell,0.098721181902237,1.4975549976963753
70,0.0002150116,-0.048868444,Buy,Hold,-0.0017561412564156553,1.4957988564399596
71,-0.3716954,-0.09511268,Sell,Sell,0.04865343353126539,1.544452289971225
72,0.11928067,0.09287125,Sell,Sell,0.46680806657950735,2.011260356550732
73,-0.06530552,0.0,Buy,Hold,0.11928067241286833,2.1305410289636004
74,0.03691062,0.0,Sell,Sell,0.06530552710121185,2.1958465560648124
75,-0.07006916,-0.119840555,Buy,Hold,0.036910617960911996,2.2327571740257244
76,0.04210794,0.05995485,Sell,Sell,0.18990970916556926,2.422666883191294
77,0.0024512038,-0.05183076,Buy,Hold,0.04210793838741411,2.464774821578708
