Step,BTC_return,SP500_return,BTC_action,SP500_action,Reward,Cumulative_Reward
28,-0.0044835773,-0.0008668742,Buy,Hold,0.05036808165148732,0.6202943841609656
29,0.020647302,0.003134359,Sell,Hold,0.004483577295090302,0.6247779614560559
30,-0.016664632,-0.01770582,Buy,Hold,0.02064730312029206,0.645425264576348
31,0.0045286957,0.0,Sell,Hold,0.016664631518128026,0.662089896094476
32,-0.005164528,0.0,Buy,Buy,0.00452869583961979,0.6666185919340958
33,-0.0054411134,0.007254614,Sell,Hold,0.0051645279666768795,0.6717831199007727
34,-0.012111512,0.014980414,Sell,Hold,0.005441113304621492,0.6772242332053942
35,0.047104094,0.011250596,Sell,Hold,0.012111511652417528,0.6893357448578117
36,0.012105773,0.0033256728,Buy,Hold,0.047104093835473426,0.7364398386932851
37,0.0067978366,-0.0054008537,Buy,Hold,0.012105773319493585,0.7485456120127787
38,0.007061676,0.0,Buy,Buy,0.0013969828309161603,0.7499425948436949
39,0.025499407,0.0,Buy,Buy,0.007061676319697785,0.7570042711633926
40,-0.025706325,0.0073263976,Buy,Hold,0.02549940694219166,0.7825036781055843
41,0.035674024,0.0016884726,Sell,Hold,0.025706324471686526,0.8082100025772708
42,0.0115415,0.0064626466,Buy,Hold,0.03567402510806805,0.8438840276853389
43,-0.010814857,-0.0016304457,Buy,Hold,0.011541499979814906,0.8554255276651538
44,0.009568503,0.0018435334,Sell,Hold,0.010814856987217514,0.8662403846523713
45,-0.040989783,0.0,Buy,Buy,0.011412036670251258,0.8776524213226226
46,0.004551204,0.0,Sell,Hold,0.0409897830477971,0.9186422043704197
47,-0.024590332,0.0,Buy,Buy,0.004551203932625647,0.9231934083030453
48,0.046630222,-0.0029199426,Sell,Hold,0.024590331529186438,0.9477837398322317
49,-0.050148845,0.004705786,Buy,Hold,0.0466302236506857,0.9944139634829174
50,-0.0025859163,-0.0038155199,Sell,Hold,0.05014884351152826,1.0445628069944457
51,0.0081142755,-0.010518103,Sell,Hold,0.0025859164113087862,1.0471487234057544
52,-0.0024012704,0.0,Buy,Buy,-0.0024038272905422264,1.0447448961152122
53,0.0270443,0.0,Sell,Hold,0.002401270461409255,1.0471461665766215
54,-0.027642742,-0.033513628,Buy,Hold,0.02704430011708836,1.0741904666937099
55,-0.031965196,-0.030279996,Sell,Hold,0.027642741538078885,1.1018332082317888
56,-0.055790953,-0.0037785405,Sell,Hold,0.031965195740564556,1.1337984039723534
57,-0.0040846015,-0.044163242,Sell,Hold,0.05579095174048332,1.1895893557128367
58,-0.012754185,-0.008238341,Sell,Hold,0.0040846016176541156,1.1936739573304909
59,-0.008411261,0.0,Sell,Hold,0.012754184897438958,1.2064281422279297
60,-0.0043089306,0.0,Sell,Hold,0.008411261679117432,1.2148394039070471
61,0.03587941,0.046039227,Sell,Hold,0.0043089307085921735,1.2191483346156393
62,-0.009231887,-0.028107896,Buy,Hold,0.03587941221856461,1.255027746834204
63,-0.003702871,0.042202592,Sell,Hold,0.009231886844013548,1.2642596336782175
64,0.036951173,-0.033922076,Buy,Buy,0.03849971970199206,1.3027593533802095
65,0.004822596,-0.017053852,Buy,Hold,0.03695117168590434,1.3397105250661139
66,-0.023303999,0.0,Buy,Buy,-0.012231256169375926,1.327479268896738
67,-0.08999349,0.0,Sell,Hold,0.02330399860322019,1.3507832674999583
68,-0.022751484,-0.075969696,Sell,Buy,0.08999349283790192,1.4407767603378603
69,-0.0017561413,0.049396306,Sell,Hold,0.022751484424786028,1.4635282447626463
70,0.0002150116,-0.048868444,Buy,Buy,0.047640165025145786,1.5111684097877922
71,-0.3716954,-0.09511268,Sell,Hold,-0.00021501160000858555,1.5109533981877836
72,0.11928067,0.09287125,Sell,Buy,0.2765827046228342,1.7875361028106178
73,-0.06530552,0.0,Buy,Hold,0.11928067241286833,1.9068167752234861
74,0.03691062,0.0,Sell,Hold,0.06530552710121185,1.9721223023246979
75,-0.07006916,-0.119840555,Buy,Hold,0.036910617960911996,2.00903292028561
76,0.04210794,0.05995485,Sell,Buy,-0.0497713956422996,1.9592615246433103
77,0.0024512038,-0.05183076,Buy,Hold,0.04210793838741411,2.0013694630307244
